frequency,raw
20.144928,85.923
20.290907,86.016
20.437943,86.111
20.586044,86.208
20.73522,86.308
20.885475,86.411
21.036821,86.515
21.189262,86.622
21.342808,86.73
21.497467,86.84
21.653246,86.952
21.810154,87.064
21.968201,87.178
22.12739,87.291
22.287735,87.405
22.449242,87.518
22.611917,87.63
22.775772,87.742
22.940815,87.852
23.107054,87.961
23.274498,88.068
23.443153,88.173
23.613033,88.276
23.784142,88.376
23.956491,88.473
24.130091,88.568
24.304947,88.66
24.481071,88.749
24.65847,88.835
24.837156,88.919
25.017136,88.999
25.198421,89.078
25.38102,89.154
25.564941,89.228
25.750195,89.3
25.93679,89.371
26.124741,89.441
26.314051,89.509
26.504732,89.577
26.696796,89.645
26.890253,89.713
27.085112,89.781
27.281382,89.851
27.479073,89.921
27.678198,89.993
27.878765,90.067
28.080786,90.142
28.284271,90.219
28.489231,90.298
28.695675,90.379
28.903616,90.462
29.113064,90.546
29.324028,90.631
29.536524,90.718
29.750557,90.806
29.966141,90.894
30.183289,90.982
30.40201,91.07
30.622314,91.158
30.844217,91.244
31.067726,91.33
31.292856,91.414
31.519617,91.496
31.74802,91.576
31.978081,91.655
32.209808,91.731
32.443211,91.804
32.67831,91.876
32.915108,91.946
33.153625,92.014
33.393871,92.08
33.635857,92.145
33.879597,92.209
34.125103,92.273
34.372387,92.337
34.621464,92.401
34.872345,92.466
35.125042,92.533
35.379574,92.601
35.635948,92.671
35.89418,92.744
36.154285,92.819
36.416275,92.896
36.680161,92.975
36.945961,93.057
37.213688,93.141
37.483353,93.227
37.754974,93.315
38.028561,93.403
38.304131,93.493
38.581699,93.582
38.861279,93.672
39.142883,93.76
39.426529,93.848
39.712231,93.934
40,94.019
40.289856,94.101
40.581814,94.182
40.875885,94.261
41.172089,94.338
41.47044,94.413
41.77095,94.486
42.073643,94.557
42.378525,94.626
42.685616,94.695
42.994934,94.762
43.306492,94.828
43.620308,94.893
43.936401,94.957
44.25478,95.021
44.57547,95.084
44.898483,95.147
45.223835,95.208
45.551544,95.269
45.88163,95.329
46.214108,95.387
46.548996,95.443
46.886307,95.496
47.226067,95.548
47.568283,95.596
47.912983,95.642
48.260181,95.684
48.609894,95.722
48.962143,95.758
49.31694,95.79
49.674313,95.819
50.034271,95.846
50.396843,95.87
50.762039,95.892
51.129883,95.913
51.500389,95.934
51.873581,95.955
52.249481,95.976
52.628101,95.999
53.009464,96.025
53.393593,96.053
53.780506,96.084
54.170223,96.119
54.562763,96.157
54.958145,96.199
55.356396,96.243
55.75753,96.29
56.161572,96.339
56.568542,96.39
56.978462,96.442
57.39135,96.494
57.807232,96.546
58.226128,96.597
58.648056,96.647
59.073048,96.694
59.501114,96.74
59.932281,96.784
60.366577,96.827
60.80402,96.867
61.244629,96.907
61.688435,96.945
62.135452,96.983
62.585712,97.021
63.039234,97.06
63.49604,97.098
63.956161,97.138
64.419617,97.178
64.886421,97.219
65.356621,97.26
65.830215,97.302
66.307251,97.344
66.787743,97.387
67.271713,97.428
67.759193,97.47
68.250206,97.511
68.744774,97.552
69.242928,97.591
69.74469,97.63
70.250084,97.668
70.759148,97.706
71.271896,97.743
71.788361,97.778
72.308571,97.813
72.83255,97.846
73.360321,97.877
73.891922,97.906
74.427376,97.933
74.966705,97.958
75.509949,97.981
76.057121,98.001
76.608261,98.019
77.163399,98.035
77.722557,98.049
78.285767,98.06
78.853058,98.07
79.424461,98.078
80,98.086
80.579712,98.093
81.163628,98.099
81.75177,98.107
82.344177,98.114
82.94088,98.123
83.541901,98.133
84.147285,98.144
84.75705,98.156
85.371231,98.168
85.989868,98.18
86.612984,98.193
87.240616,98.205
87.872803,98.216
88.50956,98.226
89.15094,98.235
89.796967,98.244
90.44767,98.252
91.103088,98.259
91.76326,98.265
92.428215,98.27
93.097992,98.274
93.772614,98.278
94.452133,98.28
95.136566,98.281
95.825966,98.281
96.520363,98.281
97.219788,98.28
97.924286,98.279
98.633881,98.278
